name,coordinates,image
Тургеневская,55°45′58″ с. ш. 37°38′15″ в. д.HЯ,Turgenevskaya-mm.jpg
Китай-город,55°45′19″ с. ш. 37°38′00″ в. д.HЯ,Kitaygorod1-mm.jpg
Третьяковская,55°44′28″ с. ш. 37°37′39″ в. д.HЯ,Tretyakovskaya1-mm.jpg
Октябрьская,55°43′50″ с. ш. 37°36′40″ в. д.HЯ,Октябрьская КРЛ 1.jpg
Шаболовская,55°43′11″ с. ш. 37°36′30″ в. д.HЯ,Shabol Antares 07.jpg
Ленинский проспект,55°42′28″ с. ш. 37°35′10″ в. д.HЯ,Len Prosp Antares 02.jpg
Академическая,55°41′16″ с. ш. 37°34′24″ в. д.HЯ,Akadem Antares 04.jpg
Профсоюзная,55°40′41″ с. ш. 37°33′46″ в. д.HЯ,Profs Antares 06.jpg
Новые Черёмушки,55°40′13″ с. ш. 37°33′16″ в. д.HЯ,Cheremushki-mm.jpg
Калужская,55°39′26″ с. ш. 37°32′26″ в. д.HЯ,Kaluzh Antares 11.jpg
Беляево,55°38′34″ с. ш. 37°31′33″ в. д.HЯ,Belyaevo-mm.jpg
Коньково,55°38′00″ с. ш. 37°31′08″ в. д.HЯ,Konkovo-mm.jpg
Тёплый Стан,55°37′09″ с. ш. 37°30′30″ в. д.HЯ,Tstan 04.jpg
Ясенево,55°36′23″ с. ш. 37°32′00″ в. д.HЯ,Yasenevo 05.jpg
Новоясеневская,55°36′04″ с. ш. 37°33′15″ в. д.HЯ,Новоясеневская 01.jpg
Планерная,55°51′39″ с. ш. 37°26′11″ в. д.HЯ,Planernaya-mm.jpg
Сходненская,55°51′02″ с. ш. 37°26′23″ в. д.HЯ,Skhodnenskaya station.jpg
Тушинская,55°49′36″ с. ш. 37°26′12″ в. д.HЯ,Tushinskaya-mm.jpg
Спартак,55°49′06″ с. ш. 37°26′07″ в. д.HЯ,MM TKL Spartak 2014-08-30 by Andrey Yurtaev (no-exit-dot-org).jpg
Щукинская,55°48′31″ с. ш. 37°27′51″ в. д.HЯ,Shchukinskaya-mm.jpg
Октябрьское Поле,55°47′37″ с. ш. 37°29′37″ в. д.HЯ,Oktpole-mm.jpg
Полежаевская,55°46′39″ с. ш. 37°31′09″ в. д.HЯ,Metro MSK Line7 Polezhaevskaya.jpg
Беговая,55°46′26″ с. ш. 37°32′48″ в. д.HЯ,Begovaya view.jpg
Улица 1905 года,55°45′54″ с. ш. 37°33′41″ в. д.HЯ,Ulitsa 1905 Goda.jpg
Баррикадная,55°45′40″ с. ш. 37°34′46″ в. д.HЯ,Metro MSK Line7 Barrikadnaya.jpg
Пушкинская,55°45′54″ с. ш. 37°36′28″ в. д.HЯ,Metro MSK Line7 Pushkinskaya.jpg
Кузнецкий Мост,55°45′38″ с. ш. 37°37′33″ в. д.HЯ,Kuzmost-mm.jpg
Китай-город55°45′19″ с. ш. 37°38′00″ в. д.HЯ,Kitaygorod1-mm.jpg
Таганская,55°44′25″ с. ш. 37°39′08″ в. д.HЯ,Таганская-радиальная 18.jpg
Пролетарская,55°43′55″ с. ш. 37°39′57″ в. д.HЯ,Proletarskaya-mm.jpg
Волгоградский проспект,55°43′31″ с. ш. 37°41′13″ в. д.HЯ,Volgogradsky-mm.jpg
Текстильщики,55°42′32″ с. ш. 37°43′54″ в. д.HЯ,Tekstil-mm.jpg
Кузьминки,55°42′20″ с. ш. 37°45′56″ в. д.HЯ,Kuzminki (Кузьминки) (5063984835).jpg
Рязанский проспект,55°43′01″ с. ш. 37°47′36″ в. д.HЯ,Ryazansky Prospekt (Рязанский Проспект) (5395550241).jpg
Выхино,55°42′05″ с. ш. 37°51′09″ в. д.HЯ,Metro MSK Line7 Lermontovsky Prospekt (img2).jpg
Жулебино55°41′08″ с. ш. 37°51′23″ в. д.HЯ,Metro MSK Line7 Zhulebino Platform.jpg
Котельники,55°40′27″ с. ш. 37°51′30″ в. д.HЯ,Metro MSK Line7 Kotelniki (img1).jpg
Раменки,55°41′46″ с. ш. 37°30′19″ в. д.HЯ,Ramenki1.jpg
Ломоносовский проспект,55°42′20″ с. ш. 37°31′21″ в. д.HЯ,Lomonosovsky prospekt - platform (1).jpg
Минская,55°43′24″ с. ш. 37°30′14″ в. д.HЯ,Minskaya station - platform (1).jpg
Парк Победы,55°44′10″ с. ш. 37°31′06″ в. д.HЯ,Park Pobedy (16414761911).jpg
Третьяковская,55°44′28″ с. ш. 37°37′39″ в. д.HЯ,Tretyakovskaya1-mm.jpg
Марксистская,55°44′28″ с. ш. 37°39′15″ в. д.HЯ,Марксистская 07.jpg
Площадь Ильича,55°44′50″ с. ш. 37°40′57″ в. д.HЯ,MosMetro Ploschad Ilyicha asv2018-01.jpg
Авиамоторная,55°45′09″ с. ш. 37°43′09″ в. д.HЯ,Авиамоторная 02.jpg
Шоссе Энтузиастов,55°45′27″ с. ш. 37°45′00″ в. д.HЯ,Shosseentuz-mm.jpg
Перово,55°45′04″ с. ш. 37°47′12″ в. д.HЯ,Perovo-mm.jpg
Новогиреево,55°45′06″ с. ш. 37°49′00″ в. д.HЯ,Novogireevo 2010.jpg
Новокосино,55°44′42″ с. ш. 37°51′50″ в. д.HЯ,Novokosino metro 4.jpg
Алтуфьево,155°53′53″ с. ш. 37°35′13″ в. д.HЯ,Metro MSK Line9 Altufyevo.jpg
